EDA,TEMP,HR,ACC
0.29202,29.37,74.8,0.018780807
0.297144,29.37,74.795,0.012183456
0.293301,29.37,74.79,0.018910795
0.297144,29.37,74.785,0.016926907
0.295863,29.37,74.78,0.023160817
0.29202,29.37,74.7775,0.013508892
0.293301,29.37,74.775,0.022113815
0.29202,29.37,74.7725,0.025413465
0.295863,29.35,74.77,0.010879199
0.295863,29.35,74.765,0.015462533
0.293301,29.35,74.76,0.02421425
0.297144,29.35,74.755,0.014057649
0.297144,29.37,74.75,0.013310453
0.293301,29.37,74.75,0.01075433
0.295863,29.37,74.75,0.013811541
0.293301,29.37,74.75,0.018197224
0.294582,29.35,74.75,0.018409092
0.295863,29.35,74.75,0.020339835
0.293301,29.35,74.75,0.016666219
0.294582,29.35,74.75,0.025404675
0.295863,29.35,74.75,0.013662693
0.293301,29.35,74.75,0.02313524
0.294582,29.35,74.75,0.016048897
0.293301,29.35,74.75,0.020658989
0.29202,29.35,74.75,0.01991336
0.297144,29.35,74.755,0.014463757
0.293301,29.35,74.76,0.021257421
0.295863,29.35,74.765,0.017049946
0.297144,29.37,74.77,0.021889899
0.293301,29.37,74.77,0.02035894
0.295863,29.37,74.77,0.0140793845
0.297144,29.37,74.77,0.020118633
0.295863,29.35,74.77,0.017622039
0.294582,29.35,74.7775,0.015402661
0.294582,29.35,74.785,0.016158635
0.294582,29.35,74.7925,0.009180853
0.295863,29.37,74.8,0.01966378
0.29202,29.37,74.8,0.023602644
0.294582,29.37,74.8,0.016401952
0.295863,29.37,74.8,0.020425312
0.293301,29.35,74.8,0.018413309
0.294582,29.35,74.8,0.01649673
0.293301,29.35,74.8,0.02807671
0.293301,29.35,74.8,0.007546384
0.295863,29.33,74.8,0.020933868
0.293301,29.33,74.7925,0.025147406
0.298424,29.33,74.785,0.018473612
0.297144,29.33,74.7775,0.013937534
0.295863,29.35,74.77,0.014486007
0.298424,29.35,74.7725,0.023784334
0.295863,29.35,74.775,0.013681365
0.298424,29.35,74.7775,0.017855447
0.300986,29.35,74.78,0.029123943
0.298424,29.35,74.79,0.019130882
0.299705,29.35,74.8,0.025979899
0.300986,29.35,74.81,0.024769118
0.298424,29.33,74.82,0.018480804
0.299705,29.33,74.8225,0.01540453
0.298424,29.33,74.825,0.022878263
0.299705,29.33,74.8275,0.02025666
0.302267,29.31,74.83,0.025600076
0.297144,29.31,74.83,0.022030858
0.300986,29.31,74.83,0.022170879
0.300986,29.31,74.83,0.018006576
0.304828,29.33,74.83,0.037930112
0.304828,29.33,74.83,0.021817448
0.303547,29.33,74.83,0.021433985
0.304828,29.33,74.83,0.026014393
0.306109,29.31,74.83,0.023757989
0.302267,29.31,74.7975,0.021746136
0.306109,29.31,74.765,0.02732054
0.306109,29.31,74.7325,0.023400512
0.303547,29.31,74.7,0.017554834
0.303547,29.31,74.6675,0.024409309
0.302267,29.31,74.635,0.021553395
0.302267,29.31,74.6025,0.02549235
0.304828,29.33,74.57,0.03567528
0.300986,29.33,74.54,0.018691465
0.302267,29.33,74.51,0.033712376
0.303547,29.33,74.48,0.03002301
0.300986,29.35,74.45,0.027550146
0.302267,29.35,74.425,0.032125268
0.299705,29.35,74.4,0.029015543
0.302267,29.35,74.375,0.042947944
0.303547,29.33,74.35,0.014906687
0.300986,29.33,74.3325,0.023107817
0.303547,29.33,74.315,0.016014192
0.306109,29.33,74.2975,0.02679156
0.306109,29.31,74.28,0.026554711
0.308671,29.31,74.265,0.022546722
0.303547,29.31,74.25,0.023138829
0.30739,29.31,74.235,0.020323275
0.30739,29.33,74.22,0.019055517
0.302267,29.33,74.2025,0.026075404
0.304828,29.33,74.185,0.023840213
0.306109,29.33,74.1675,0.030860392
0.302267,29.33,74.15,0.025019336
0.303547,29.33,74.1325,0.02165147
0.302267,29.33,74.115,0.021254946
0.306109,29.33,74.0975,0.033539053
0.306109,29.33,74.08,0.024026917
0.303547,29.33,74.055,0.03358534
0.30739,29.33,74.03,0.027773743
0.304828,29.33,74.005,0.013014484
0.303547,29.35,73.98,0.023278086
0.303547,29.35,73.955,0.024043148
0.302267,29.35,73.93,0.029948981
0.303547,29.35,73.905,0.022853883
0.306109,29.35,73.88,0.040511634
0.302267,29.35,73.7925,0.027510451
0.304828,29.35,73.705,0.01783592
0.306109,29.35,73.6175,0.024530727
0.304828,29.29,73.53,0.024725264
0.304828,29.29,73.4425,0.025038222
0.303547,29.29,73.355,0.023193352
0.302267,29.29,73.2675,0.020819737
0.306109,29.29,73.18,0.026693845
0.302267,29.29,73.0925,0.03782545
0.304828,29.29,73.005,0.025656259
0.306109,29.29,72.9175,0.016819058
