EDA,TEMP,HR,ACC
8.362788,26.89,119.95,0.0256377
8.197527,26.89,119.9175,0.037520777
8.17831,26.89,119.885,0.023563277
8.109131,26.89,119.8525,0.06485219
8.06173,27.73,119.82,0.04395618
8.100163,27.73,119.79,0.022295268
8.132191,27.73,119.76,0.044429086
8.155251,27.73,119.73,0.05201218
8.133471,27.39,119.7,0.030678796
8.143721,27.39,119.675,0.04014983
8.223148,27.39,119.65,0.022600856
8.151407,27.39,119.625,0.017975254
8.102725,27.51,119.6,0.03290178
7.931058,27.51,119.605,0.023863403
7.809354,27.51,119.61,0.020973511
7.737813,27.51,119.615,0.04382666
7.600735,30.27,119.62,0.01321263
7.680163,30.27,119.6225,0.021720551
7.60714,30.27,119.625,0.04915399
7.593048,30.27,119.6275,0.034997147
7.625075,28.33,119.63,0.050118588
7.741656,28.33,119.64,0.032795183
8.045277,28.33,119.65,0.050380625
8.175948,28.33,119.66,0.030012287
8.268188,27.57,119.67,0.018075489
8.229754,27.57,119.6725,0.028468048
8.225911,27.57,119.675,0.018447576
8.156732,27.57,119.6775,0.020915851
8.178511,28.49,119.68,0.0233228
8.160575,28.49,119.68,0.013232546
8.160575,28.49,119.68,0.03857737
8.223349,28.49,119.68,0.029053587
8.206695,28.13,119.68,0.032351904
8.086271,28.13,119.6775,0.026469845
8.232317,28.13,119.675,0.036271706
8.357864,28.13,119.6725,0.020759843
8.39886,28.21,119.67,0.018366128
8.32968,28.21,119.66,0.024747707
8.280998,28.21,119.65,0.039123148
8.25922,28.21,119.64,0.024867121
8.256658,27.55,119.63,0.029848307
8.260501,27.55,119.6175,0.04467306
8.382205,27.55,119.605,0.020286342
8.494943,27.55,119.5925,0.03885865
8.460153,27.01,119.58,0.029968144
8.498586,27.01,119.5725,0.03009455
8.553673,27.01,119.565,0.05277681
8.548548,27.01,119.5575,0.034466904
8.442217,27.83,119.55,0.044830527
8.428124,27.83,119.55,0.058982126
8.366632,27.83,119.55,0.032128498
8.312826,27.83,119.55,0.032311186
8.315388,27.59,119.55,0.058340013
8.448623,27.59,119.555,0.07786607
8.67922,27.59,119.56,0.06677657
8.821423,27.59,119.565,0.0711249
8.697156,27.53,119.57,0.045850966
8.745837,27.53,119.5775,0.0817342
8.544704,27.53,119.585,0.12746689
7.897749,27.53,119.5925,0.45767727
8.576933,27.85,119.6,0.18316549
9.078923,27.85,119.6125,0.039891977
9.386288,27.85,119.625,0.040828854
9.413191,27.85,119.6375,0.05080298
9.465716,28.67,119.65,0.0324248
9.590587,28.67,119.6575,0.06576675
9.631582,28.67,119.665,0.03273756
9.667453,28.67,119.6725,0.021376017
9.69948,26.79,119.68,0.046343397
9.712291,26.79,119.68,0.017403327
9.746881,26.79,119.68,0.03474244
9.845526,26.79,119.68,0.034336112
9.917267,27.71,119.68,0.026613628
10.064593,27.71,119.68,0.042289793
10.214475,27.71,119.68,0.028510064
10.181166,27.71,119.68,0.014417392
10.144014,28.11,119.68,0.056366716
10.106862,28.11,119.68,0.027338548
10.074835,28.11,119.68,0.020969776
10.085084,28.11,119.68,0.019758765
10.073554,28.75,119.68,0.02708713
10.063305,28.75,119.68,0.018938346
10.022309,28.75,119.68,0.026461316
10.005655,28.75,119.68,0.021100238
9.937757,27.77,119.68,0.0099210385
9.973628,27.77,119.66,0.028555607
10.163231,27.77,119.64,0.02108853
10.327211,27.77,119.62,0.19296677
10.401515,27.77,119.6,0.047026332
10.433542,27.77,119.58,0.032045856
10.398953,27.77,119.56,0.031765267
10.331055,27.77,119.54,0.025641387
10.242659,28.83,119.52,0.03897956
10.282373,28.83,119.5075,0.03607181
10.356677,28.83,119.495,0.021315537
10.46557,28.83,119.4825,0.02460821
10.55427,27.71,119.47,0.03136735
10.51968,27.71,119.4575,0.01969952
10.479966,27.71,119.445,0.036937878
10.435127,27.71,119.4325,0.03109499
10.381321,27.85,119.42,0.05569592
10.385164,27.85,119.41,0.027440617
10.34545,27.85,119.4,0.03867531
10.390289,27.85,119.39,0.035640165
10.383883,29.17,119.38,0.055243105
10.503026,29.17,119.3775,0.028152483
10.535053,29.17,119.375,0.043064293
10.563237,29.17,119.3725,0.033485178
10.490214,28.47,119.37,0.034983788
10.442814,28.47,119.3825,0.04009189
10.433846,28.47,119.395,0.026349781
10.35698,28.47,119.4075,0.038729075
10.317266,27.43,119.42,0.038496457
10.235276,27.43,119.42,0.023845334
10.157129,27.43,119.42,0.017154055
10.157129,27.43,119.42,0.034475196
10.295487,26.89,119.42,0.020904059
10.506869,26.89,119.415,0.01572446
10.640103,26.89,119.41,0.048396
10.641384,26.89,119.405,0.028898757
