EDA,TEMP,HR,ACC
2.204571,31.29,89.15,0.02500681
2.208415,31.29,89.1575,0.023448851
2.204571,31.29,89.165,0.028868489
2.150762,31.29,89.1725,0.016842546
2.153324,31.31,89.18,0.032424644
2.18151,31.31,89.185,0.018740319
2.120013,31.31,89.19,0.013916775
2.148199,31.31,89.195,0.017778236
2.19304,31.31,89.2,0.018378815
2.191759,31.31,89.205,0.009820248
2.210977,31.31,89.21,0.022865122
2.223789,31.31,89.215,0.016380401
2.185353,31.33,89.22,0.018187603
2.20329,31.33,89.2275,0.01238833
2.213539,31.33,89.235,0.0128947655
2.172542,31.33,89.2425,0.015047158
2.182791,31.33,89.25,0.015666684
2.190478,31.33,89.2675,0.023087824
2.191759,31.33,89.285,0.014386251
2.243006,31.33,89.3025,0.023100346
2.29041,31.31,89.32,0.029449664
2.322439,31.31,89.3475,0.00934895
2.395466,31.31,89.375,0.013716414
2.444151,31.31,89.4025,0.029904678
2.456963,31.33,89.43,0.007983801
2.481305,31.33,89.4675,0.01767573
2.491554,31.33,89.505,0.026819339
2.503085,31.33,89.5425,0.029561916
2.487711,31.33,89.58,0.022103084
2.477462,31.33,89.6275,0.048984937
2.465931,31.33,89.675,0.042357273
2.387779,31.33,89.7225,0.016800825
2.363437,31.35,89.77,0.034401707
2.358312,31.35,89.8075,0.0263009
2.344219,31.35,89.845,0.010806807
2.380092,31.35,89.8825,0.0061761052
2.408278,31.35,89.92,0.03918695
2.472337,31.35,89.9575,0.009422814
2.510772,31.35,89.995,0.01945203
2.556895,31.35,90.0325,0.034691025
2.597892,31.33,90.07,0.020084735
2.613266,31.33,90.1025,0.009981085
2.590205,31.33,90.135,0.017055435
2.553051,31.33,90.1675,0.0296658
2.538958,31.37,90.2,0.01782081
2.50821,31.37,90.225,0.014388024
2.477462,31.37,90.25,0.036883418
2.451838,31.37,90.275,0.05387945
2.387779,31.33,90.3,0.17033912
2.278879,31.33,90.32,0.24190047
2.244287,31.33,90.34,0.22234097
2.385217,31.33,90.36,0.21965396
2.309628,31.39,90.38,0.07200013
2.264786,31.39,90.3975,0.041271213
2.321158,31.39,90.415,0.01311132
2.414684,31.39,90.4325,0.008944062
2.510772,31.39,90.45,0.0301337
2.637609,31.39,90.445,0.012141303
2.656826,31.39,90.44,0.016210493
2.661951,31.39,90.435,0.02066456
2.709355,31.37,90.43,0.01982723
2.673482,31.37,90.435,0.027480675
2.724729,31.37,90.44,0.018570602
2.687575,31.37,90.445,0.033264574
2.636328,31.37,90.45,0.029684579
2.619672,31.37,90.4625,0.014472764
2.583799,31.37,90.475,0.025495978
2.587643,31.37,90.4875,0.02187656
2.519741,31.39,90.5,0.015692744
2.454401,31.39,90.52,0.033980723
2.441589,31.39,90.54,0.0155853145
2.37753,31.39,90.56,0.009417362
2.350625,31.39,90.58,0.026325315
2.325001,31.39,90.61,0.042390566
2.314752,31.39,90.64,0.027684355
2.310909,31.39,90.67,0.011788681
2.263505,31.39,90.7,0.03392066
2.29041,31.39,90.7375,0.031884592
2.234038,31.39,90.775,0.013360749
2.230195,31.39,90.8125,0.017472893
2.264786,31.43,90.85,0.021553924
2.263505,31.43,90.895,0.01894107
2.260943,31.43,90.94,0.016621178
2.231476,31.43,90.985,0.02829146
2.264786,31.41,91.03,0.020622628
2.239163,31.41,91.0775,0.009184307
2.250693,31.41,91.125,0.04250186
2.285285,31.41,91.1725,0.036944244
2.29041,31.41,91.22,0.012670813
2.282723,31.41,91.285,0.013541709
2.267349,31.41,91.35,0.017713012
2.285285,31.41,91.415,0.015740464
2.255818,31.41,91.48,0.022143096
2.253256,31.41,91.535,0.027948624
2.254537,31.41,91.59,0.02292353
2.231476,31.41,91.645,0.01707302
2.218664,31.43,91.7,0.02269112
2.205852,31.43,91.745,0.039997842
2.20329,31.43,91.79,0.016286965
2.185353,31.43,91.835,0.012390936
2.167417,31.43,91.88,0.033363823
2.166136,31.43,91.915,0.029698357
2.140512,31.43,91.95,0.02328929
2.157167,31.43,91.985,0.03162355
2.15973,31.43,92.02,0.036297817
2.17126,31.43,92.0475,0.014263017
2.168698,31.43,92.075,0.027230196
2.153324,31.43,92.1025,0.04659118
2.15973,31.41,92.13,0.022367764
2.140512,31.41,92.155,0.013804268
2.123857,31.41,92.18,0.027068466
2.141793,31.41,92.205,0.017020961
2.128982,31.45,92.23,0.020490186
2.136669,31.45,92.2475,0.017539753
2.144356,31.45,92.265,0.032169167
2.146918,31.45,92.2825,0.020782605
2.131544,31.45,92.3,0.015074514
2.1277,31.45,92.32,0.03882414
2.163573,31.45,92.34,0.024995362
2.146918,31.45,92.36,0.024777316
