EDA,TEMP,HR,ACC
1.361127,31.87,76.8,0.0068474812
1.353439,31.87,76.83,0.01000433
1.353439,31.87,76.86,0.008715145
1.350877,31.87,76.89,0.005661129
1.350877,31.87,76.92,0.00819224
1.34447,31.87,76.945,0.009426696
1.343189,31.87,76.97,0.0062276856
1.336783,31.87,76.995,0.010289382
1.330377,31.89,77.02,0.009305108
1.330377,31.89,77.035,0.008455786
1.322689,31.89,77.05,0.006901362
1.317564,31.89,77.065,0.0074102352
1.317564,31.89,77.08,0.003374981
1.308595,31.89,77.0975,0.004673518
1.309877,31.89,77.115,0.008151502
1.298345,31.89,77.1325,0.007835377
1.302189,31.89,77.15,0.032540616
1.291939,31.89,77.1625,0.021321172
1.299626,31.89,77.175,0.0074495673
1.288095,31.89,77.1875,0.0059961136
1.280408,31.91,77.2,0.0068753627
1.279126,31.91,77.2075,0.010462246
1.274001,31.91,77.215,0.007923999
1.274001,31.91,77.2225,0.0032786618
1.265033,31.89,77.23,0.0046151844
1.256064,31.89,77.24,0.0034293595
1.256064,31.89,77.25,0.0057405443
1.249658,31.89,77.26,0.0073882234
1.249658,31.87,77.27,0.008234946
1.245814,31.87,77.2775,0.0074668047
1.24197,31.87,77.285,0.006781545
1.235564,31.87,77.2925,0.0076016597
1.224033,31.87,77.3,0.006407943
1.229158,31.87,77.305,0.0034305397
1.222751,31.87,77.31,0.0069708712
1.229158,31.87,77.315,0.008066088
1.233001,31.87,77.32,0.0050088675
1.233001,31.87,77.3225,0.0049434025
1.239408,31.87,77.325,0.0031583875
1.229158,31.87,77.3275,0.0030566016
1.229158,31.87,77.33,0.0109399315
1.222751,31.87,77.3425,0.014528605
1.220189,31.87,77.355,0.011698715
1.222751,31.87,77.3675,0.003149251
1.208658,31.87,77.38,0.0034785592
1.207376,31.87,77.3975,0.004068758
1.202251,31.87,77.415,0.0059465203
1.197126,31.87,77.4325,0.0066566737
1.194564,31.87,77.45,0.006715714
1.193282,31.87,77.47,0.00821531
1.192001,31.87,77.49,0.00755672
1.185595,31.87,77.51,0.0063076275
1.186876,31.89,77.53,0.0076709413
1.184314,31.89,77.555,0.0071240063
1.185595,31.89,77.58,0.0038073657
1.194564,31.89,77.605,0.002170297
1.194564,31.85,77.63,0.002420975
1.19072,31.85,77.665,0.011990491
1.189439,31.85,77.7,0.0036316132
1.183032,31.85,77.735,0.0034086462
1.176626,31.87,77.77,0.0062811896
1.174064,31.87,77.815,0.0047426783
1.167657,31.87,77.86,0.006921852
1.162532,31.87,77.905,0.011883915
1.163814,31.89,77.95,0.0075733354
1.157407,31.89,78.005,0.010870307
1.14972,31.89,78.06,0.004520096
1.14972,31.89,78.115,0.0073912134
1.15997,31.89,78.17,0.01684404
1.158689,31.89,78.2225,0.010197673
1.152282,31.89,78.275,0.003471529
1.152282,31.89,78.3275,0.009988257
1.144595,31.87,78.38,0.0061548315
1.143314,31.87,78.43,0.005928358
1.136907,31.87,78.48,0.0037692368
1.136907,31.87,78.53,0.008737499
1.136907,31.87,78.58,0.0081795305
1.131782,31.87,78.63,0.005082707
1.133064,31.87,78.68,0.005369999
1.133064,31.87,78.73,0.012897951
1.138188,31.87,78.78,0.010149321
1.138188,31.87,78.8225,0.0146278925
1.130501,31.87,78.865,0.011433726
1.124095,31.87,78.9075,0.007721201
1.122813,31.87,78.95,0.02228584
1.136907,31.87,78.98,0.025775721
1.138188,31.87,79.01,0.0077797943
1.135626,31.87,79.04,0.01822522
1.130501,31.85,79.07,0.0060495813
1.121532,31.85,79.115,0.006822541
1.121532,31.85,79.16,0.008574371
1.11897,31.85,79.205,0.0044042086
1.11897,31.85,79.25,0.005758389
1.112563,31.85,79.2875,0.0029814942
1.117688,31.85,79.325,0.002325595
1.111282,31.85,79.3625,0.003385808
1.111282,31.89,79.4,0.0045266123
1.10872,31.89,79.4425,0.007003124
1.102313,31.89,79.485,0.0042614145
1.103595,31.89,79.5275,0.0028225542
1.097188,31.87,79.57,0.0029663262
1.093345,31.87,79.6075,0.02054153
1.092063,31.87,79.645,0.0055980254
1.086938,31.87,79.6825,0.008729299
1.081813,31.85,79.72,0.011507066
1.072845,31.85,79.7725,0.010022013
1.074126,31.85,79.825,0.0102002015
1.066438,31.85,79.8775,0.004305834
1.063876,31.87,79.93,0.010920308
1.058751,31.87,79.99,0.0029663262
1.061313,31.87,80.05,0.0017825387
1.054907,31.87,80.11,0.0032578527
1.048501,31.85,80.17,0.010081149
1.054907,31.85,80.195,0.005828277
1.045938,31.85,80.22,0.015534808
1.04722,31.85,80.245,0.013658677
1.039532,31.85,80.27,0.0058170883
1.051063,31.85,80.285,0.060186524
1.051063,31.85,80.3,0.04741758
1.053626,31.85,80.315,0.011939034
